"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorEqual.category record1Value","[0] StringAttributeComparatorEqual.category record2Value","[0] StringAttributeComparatorEqual.category record1PreprocessedValue","[0] StringAttributeComparatorEqual.category record2PreprocessedValue","[0] StringAttributeComparatorEqual.category similarity","[0] StringAttributeComparatorEqual.category postproccesedSimilarity","[1] StringListAttributeComparatorLevenshtein.commonNames record1Value","[1] StringListAttributeComparatorLevenshtein.commonNames record2Value","[1] StringListAttributeComparatorLevenshtein.commonNames record1PreprocessedValue","[1] StringListAttributeComparatorLevenshtein.commonNames record2PreprocessedValue","[1] StringListAttributeComparatorLevenshtein.commonNames similarity","[1] StringListAttributeComparatorLevenshtein.commonNames postproccesedSimilarity","[2] StringListAttributeComparatorLevenshtein.orders record1Value","[2] StringListAttributeComparatorLevenshtein.orders record2Value","[2] StringListAttributeComparatorLevenshtein.orders record1PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.orders record2PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.orders similarity","[2] StringListAttributeComparatorLevenshtein.orders postproccesedSimilarity","[3] StringListAttributeComparatorLevenshtein.families record1Value","[3] StringListAttributeComparatorLevenshtein.families record2Value","[3] StringListAttributeComparatorLevenshtein.families record1PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.families record2PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.families similarity","[3] StringListAttributeComparatorLevenshtein.families postproccesedSimilarity"
"WekaMatchingRule","BIO08966","http://www.wikidata.org/entity/q1830181","0.02",,"Mammal","Mammal","Mammal","Mammal","1.0","1.0","[pocket mouse species, hispid pocket mice, coarse haired pocket mice, pocket mice]","[duke of abruzzis wrinkle lipped bat, duke of abruzzi’s free tailed bat, duke of abruzzi’s wrinkle lipped bat, abruzzis wrinkle lipped bat, duke of abruzzis free tailed bat, abruzzi’s wrinkle lipped bat, duke of abruzzis free tailed bat]","[pocket mouse species, hispid pocket mice, coarse haired pocket mice, pocket mice]","[duke of abruzzis wrinkle lipped bat, duke of abruzzi’s free tailed bat, duke of abruzzi’s wrinkle lipped bat, abruzzis wrinkle lipped bat, duke of abruzzis free tailed bat, abruzzi’s wrinkle lipped bat, duke of abruzzis free tailed bat]","0.22857142857142854","0.22857142857142854","[rodentia]","[chiroptera]","[rodentia]","[chiroptera]","0.19999999999999996","0.19999999999999996","[heteromyidae]","[molossidae]","[heteromyidae]","[molossidae]","0.41666666666666663","0.41666666666666663"
"WekaMatchingRule","BIO37638","http://www.wikidata.org/entity/q748521","0.02",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[rhyothemis plutonia]","[none]","[rhyothemis plutonia]","0.10526315789473684","0.10526315789473684","[trichoptera]","[odonata]","[trichoptera]","[odonata]","0.18181818181818177","0.18181818181818177","[rhyacophilidae]","[libellulidae]","[rhyacophilidae]","[libellulidae]","0.3571428571428571","0.3571428571428571"
"WekaMatchingRule","BIO35622","http://www.wikidata.org/entity/q772976","0.11",,"Fish","Fish","Fish","Fish","1.0","1.0","[bighead searobin]","[priolepis aureoviridis]","[bighead searobin]","[priolepis aureoviridis]","0.2727272727272727","0.2727272727272727","[scorpaeniformes]","[gobiiformes]","[scorpaeniformes]","[gobiiformes]","0.5333333333333333","0.5333333333333333","[triglidae]","[gobiidae]","[triglidae]","[gobiidae]","0.4444444444444444","0.4444444444444444"
"WekaMatchingRule","BIO13483","http://www.wikidata.org/entity/q1845889","0.13",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[diaphanes longithorax]","[none]","[diaphanes longithorax]","0.1428571428571429","0.1428571428571429","[diptera]","[coleoptera]","[diptera]","[coleoptera]","0.5","0.5","[chironomidae]","[lampyridae]","[chironomidae]","[lampyridae]","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","BIO16969","http://www.wikidata.org/entity/q368496","0.93",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[eudocima jordani]","[none]","[eudocima jordani]","0.125","0.125","[lepidoptera]","[lepidoptera]","[lepidoptera]","[lepidoptera]","1.0","1.0","[pyralidae]","[erebidae]","[pyralidae]","[erebidae]","0.5555555555555556","0.5555555555555556"
"WekaMatchingRule","BIO26692","http://www.wikidata.org/entity/q975025","0.06",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[megachile jenseni]","[none]","[megachile jenseni]","0.11764705882352944","0.11764705882352944","[diptera]","[hymenoptera]","[diptera]","[hymenoptera]","0.4545454545454546","0.4545454545454546","[phoridae]","[megachilidae]","[phoridae]","[megachilidae]","0.41666666666666663","0.41666666666666663"
"WekaMatchingRule","BIO00752","http://www.wikidata.org/entity/q2165030",,"0","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[tipula (lunatipula) cava]","[none]","[tipula (lunatipula) cava]","0.04166666666666663","0.04166666666666663","[trichoptera]","[diptera]","[trichoptera]","[diptera]","0.5454545454545454","0.5454545454545454","[glossosomatidae]","[tipulidae]","[glossosomatidae]","[tipulidae]","0.2666666666666667","0.2666666666666667"
"WekaMatchingRule","BIO18436","http://www.wikidata.org/entity/q1261387","0.13",,"Bird","Bird","Bird","Bird","1.0","1.0","[wilson s snipe, common snipe]","[black tailed nativehen, gallinula ventralis]","[wilson s snipe, common snipe]","[black tailed nativehen, gallinula ventralis]","0.21052631578947367","0.21052631578947367","[charadriiformes]","[dinosaur, saurischia, gruiformes, avetheropoda]","[charadriiformes]","[dinosaur, saurischia, gruiformes, avetheropoda]","0.5333333333333333","0.5333333333333333","[scolopacidae]","[rallidae]","[scolopacidae]","[rallidae]","0.41666666666666663","0.41666666666666663"
"WekaMatchingRule","BIO34461","http://www.wikidata.org/entity/q2099779","0.02",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[plutella porrectella]","[none]","[plutella porrectella]","0.09999999999999998","0.09999999999999998","[coleoptera]","[lepidoptera]","[coleoptera]","[lepidoptera]","0.5454545454545454","0.5454545454545454","[scarabaeidae]","[plutellidae]","[scarabaeidae]","[plutellidae]","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","BIO00970","http://www.wikidata.org/entity/q2068062","0.97",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[agriotes hilaris]","[none]","[agriotes hilaris]","0.125","0.125","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","[elateridae]","[elateridae]","[elateridae]","[elateridae]","1.0","1.0"
