"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard.scientificName record1Value","[0] StringAttributeComparatorJaccard.scientificName record2Value","[0] StringAttributeComparatorJaccard.scientificName record1PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName record2PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName similarity","[0] StringAttributeComparatorJaccard.scientificName postproccesedSimilarity","[1] StringAttributeComparatorLevenshtein.scientificName record1Value","[1] StringAttributeComparatorLevenshtein.scientificName record2Value","[1] StringAttributeComparatorLevenshtein.scientificName record1PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName record2PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName similarity","[1] StringAttributeComparatorLevenshtein.scientificName postproccesedSimilarity","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record1Value","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record2Value","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record1PreprocessedValue","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record2PreprocessedValue","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames similarity","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames postproccesedSimilarity","[3] StringListAttributeAsWholeComparatorJaccard.orders record1Value","[3] StringListAttributeAsWholeComparatorJaccard.orders record2Value","[3] StringListAttributeAsWholeComparatorJaccard.orders record1PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.orders record2PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.orders similarity","[3] StringListAttributeAsWholeComparatorJaccard.orders postproccesedSimilarity","[4] StringListAttributeAsWholeComparatorJaccard.families record1Value","[4] StringListAttributeAsWholeComparatorJaccard.families record2Value","[4] StringListAttributeAsWholeComparatorJaccard.families record1PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.families record2PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.families similarity","[4] StringListAttributeAsWholeComparatorJaccard.families postproccesedSimilarity","[5] StringListAttributeComparatorEqual.states record1Value","[5] StringListAttributeComparatorEqual.states record2Value","[5] StringListAttributeComparatorEqual.states record1PreprocessedValue","[5] StringListAttributeComparatorEqual.states record2PreprocessedValue","[5] StringListAttributeComparatorEqual.states similarity","[5] StringListAttributeComparatorEqual.states postproccesedSimilarity"
"WekaMatchingRule","BIO06833","ES247","0.0",,"calvatia gigantea","calamagrostis hillebrandii","calvatia gigantea","calamagrostis hillebrandii","0.0","0.0","calvatia gigantea","calamagrostis hillebrandii","calvatia gigantea","calamagrostis hillebrandii","0.3846153846153846","0.3846153846153846","[hillebrand s reedgrass]","[none]","[hillebrand s reedgrass]","[none]","0.09090909090909094","0.09090909090909094",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO39247","ES911","0.0",,"schistidium strictum","schoenocrambe argillacea","schistidium strictum","schoenocrambe argillacea","0.0","0.0","schistidium strictum","schoenocrambe argillacea","schistidium strictum","schoenocrambe argillacea","0.25","0.25","[clay reed mustard]","[none]","[clay reed mustard]","[none]","0.05882352941176472","0.05882352941176472",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO16601","ES784","0.0",,"eriophyllum lanatum var. leucophyllum","eriogonum ovalifolium var. williamsiae","eriophyllum lanatum var. leucophyllum","eriogonum ovalifolium var. williamsiae","0.14285714285714285","0.14285714285714285","eriophyllum lanatum var. leucophyllum","eriogonum ovalifolium var. williamsiae","eriophyllum lanatum var. leucophyllum","eriogonum ovalifolium var. williamsiae","0.3421052631578947","0.3421052631578947","[common woolly sunflower, woolly sunflower]","[steamboat buckwheat]","[common woolly sunflower, woolly sunflower]","[steamboat buckwheat]","0.11784897025171626","0.11784897025171626",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO20221","ES555","0.0",,"helophorus marginicollis","helianthus paradoxus","helophorus marginicollis","helianthus paradoxus","0.0","0.0","helophorus marginicollis","helianthus paradoxus","helophorus marginicollis","helianthus paradoxus","0.41666666666666663","0.41666666666666663","[pecos ( puzzle,  paradox) sunflower]","[none]","[pecos ( puzzle,  paradox) sunflower]","[none]","0.08571428571428574","0.08571428571428574",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO01563","ES1284","0.0",,"amaranthus deflexus","amazona vittata","amaranthus deflexus","amazona vittata","0.0","0.0","amaranthus deflexus","amazona vittata","amaranthus deflexus","amazona vittata","0.26315789473684215","0.26315789473684215","[puerto rican parrot]","[low amaranth]","[puerto rican parrot]","[low amaranth]","0.21052631578947367","0.21052631578947367",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO13095","ES369","0.9285714285714286",,"delphinium carolinianum ssp. carolinianum","delphinium variegatum ssp. kinkiense","delphinium carolinianum ssp. carolinianum","delphinium variegatum ssp. kinkiense","0.4","0.4","delphinium carolinianum ssp. carolinianum","delphinium variegatum ssp. kinkiense","delphinium carolinianum ssp. carolinianum","delphinium variegatum ssp. kinkiense","0.6341463414634146","0.6341463414634146","[san clemente island larkspur]","[larkspur]","[san clemente island larkspur]","[larkspur]","0.2857142857142857","0.2857142857142857",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO02707","ES572",,"0","aphididae","poa atropurpurea","aphididae","poa atropurpurea","0.0","0.0","aphididae","poa atropurpurea","aphididae","poa atropurpurea","0.125","0.125","[plantlice, aphids]","[san bernardino bluegrass]","[plantlice, aphids]","[san bernardino bluegrass]","0.125","0.125",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO33965","ES837","0.9285714285714286","1","plagiobothrys","plagiobothrys hirtus","plagiobothrys","plagiobothrys hirtus","0.5","0.5","plagiobothrys","plagiobothrys hirtus","plagiobothrys","plagiobothrys hirtus","0.65","0.65","[rough popcornflower]","[popcornflower]","[rough popcornflower]","[popcornflower]","0.6842105263157895","0.6842105263157895",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO09194","ES1212","1.0","1","chasmistes liorus","chasmistes liorus","chasmistes liorus","chasmistes liorus","1.0","1.0","chasmistes liorus","chasmistes liorus","chasmistes liorus","chasmistes liorus","1.0","1.0","[june sucker]","[june sucker]","[june sucker]","[june sucker]","1.0","1.0",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO33467","ES671","0.0",,"physalis lobata","phyllostegia pilosa","physalis lobata","phyllostegia pilosa","0.0","0.0","physalis lobata","phyllostegia pilosa","physalis lobata","phyllostegia pilosa","0.368421052631579","0.368421052631579","[no common name]","[purple ground cherry]","[no common name]","[purple ground cherry]","0.15000000000000002","0.15000000000000002",,,,,,,,,,,,,,,,,,
