resource,superClass,super2Class,super3Class,super4Class,parentTaxon,parent2Taxon,parent3Taxon,parent4Taxon,taxonName,taxonCommonName,differentFrom,endemic,conservationStatus,resourceLabel,superClassLabel,super2ClassLabel,super3ClassLabel,super4ClassLabel,parentTaxonLabel,parent2TaxonLabel,parent3TaxonLabel,parent4TaxonLabel,taxonNameLabel,taxonCommonNameLabel,differentFromLabel,endemicToLabel,conservationStatusLabel
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q7377,,,,,,,,,,Gute sheep,sheep,domesticated mammal,mammal living in captivity,mammal,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,,,,Gute sheep,sheep,domesticated mammal,domesticated animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q1797813,http://www.wikidata.org/entity/Q57812559,http://www.wikidata.org/entity/Q26401003,,,,,,,,,,Gute sheep,sheep,productive animal,animal living in captivity,individual animal,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q72638,http://www.wikidata.org/entity/Q159344,,,,,,,,,,Gute sheep,sheep,herbivore,consumer,heterotroph,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q72638,http://www.wikidata.org/entity/Q7239,,,,,,,,,,Gute sheep,sheep,herbivore,consumer,organism,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q729,http://www.wikidata.org/entity/Q7239,,,,,,,,,,Gute sheep,sheep,herbivore,animal,organism,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q1535693,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q69301705,http://www.wikidata.org/entity/Q842175,,,,,,,,,,Gute sheep,Northern European short-tailed sheep,sheep,sheep,ruminant,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q1535693,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,,,,,,,,,,Gute sheep,Northern European short-tailed sheep,sheep,domesticated mammal,mammal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q1535693,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,,,,,,,,,,Gute sheep,Northern European short-tailed sheep,sheep,domesticated mammal,domesticated animal,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q1535693,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q1797813,http://www.wikidata.org/entity/Q57812559,,,,,,,,,,Gute sheep,Northern European short-tailed sheep,sheep,productive animal,animal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q1535693,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q72638,,,,,,,,,,Gute sheep,Northern European short-tailed sheep,sheep,herbivore,consumer,,,,,,,,,
http://www.wikidata.org/entity/Q1433736,http://www.wikidata.org/entity/Q1535693,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q729,,,,,,,,,,Gute sheep,Northern European short-tailed sheep,sheep,herbivore,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1437201,http://www.wikidata.org/entity/Q787,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q57812559,,,,,,,,,,Forest Mountain,pig,domesticated mammal,mammal living in captivity,animal living in captivity,,,,,,,,,
