,Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group
67,Chelonia mydas,Green sea turtle,North Atlantic DPS,4,Threatened,Reptiles
68,Pseudotryonia adamantina,Diamond Tryonia,Wherever found,2,Endangered,Snails
69,Scaphirhynchus albus,Pallid sturgeon,Wherever found,6,Endangered,Fishes
70,Thomomys mazama tumuli,Tenino pocket gopher,Wherever found,1,Threatened,Mammals
71,Etheostoma spilotum,Kentucky arrow darter,Wherever found,4,Threatened,Fishes
72,Sylvilagus bachmani riparius,Riparian brush rabbit,Wherever found,8,Endangered,Mammals
73,Leptodea leptodon,Scaleshell mussel,Wherever found,3,Endangered,Clams
74,Medionidus walkeri,Suwannee moccasinshell,Wherever found,4,Threatened,Clams
75,Buteo platypterus brunnescens,Puerto Rican broad-winged hawk,Wherever found,4,Endangered,Birds
76,Corynorhinus (=Plecotus) townsendii ingens,Ozark big-eared bat,Wherever found,2,Endangered,Mammals
77,Ambystoma californiense,California tiger Salamander,U.S.A. (CA - Santa Barbara County),8,Endangered,Amphibians
78,Eurycea chisholmensis,Salado Salamander,Wherever found,2,Threatened,Amphibians
79,Achatinella spp.,Oahu tree snails,Wherever found,1,Endangered,Snails
80,Gammarus pecos,Pecos amphipod,Wherever found,2,Endangered,Crustaceans
81,Lemiox rimosus,Birdwing pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
82,Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals
83,Alasmidonta atropurpurea,Cumberland elktoe,Wherever found,4,Endangered,Clams
84,Ictalurus pricei,Yaqui catfish,Wherever found,2,Threatened,Fishes
85,Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds
86,Hesperia dacotae,Dakota Skipper,Wherever found,3,Threatened,Insects
87,Cicurina venii,Braken Bat Cave Meshweaver,Wherever found,2,Endangered,Arachnids
88,Anas wyvilliana,Hawaiian (=koloa) Duck,Wherever found,1,Endangered,Birds
89,Gallicolumba stairi,Friendly Ground-Dove,American Samoa DPS,1,Endangered,Birds
90,Speoplatyrhinus poulsoni,Alabama cavefish,Wherever found,4,Endangered,Fishes
91,Reithrodontomys raviventris,Salt marsh harvest mouse,wherever found,8,Endangered,Mammals
92,Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles
93,Juturnia kosteri,Koster's springsnail,Wherever found,2,Endangered,Snails
