id,scientific_name,common_name,where_listed,region_name,region,esa_listing_status,category
ES1320,Amphispiza belli clementeae,San Clemente sage sparrow,Wherever found,Pacific Southwest,8,Threatened,Bird
ES449,Amsinckia grandiflora,Large-flowered fiddleneck,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES466,Amsonia kearneyana,Kearney's blue-star,Wherever found,Southwest,2,Endangered,Vascular Plant
ES999,Anaea troglodyta floridalis,Florida leafwing Butterfly,Wherever found,Southeast,4,Endangered,Insect
ES1097,Anas laysanensis,Laysan duck,Wherever found,Pacific,1,Endangered,Bird
ES1026,Anas wyvilliana,Hawaiian (=koloa) Duck,Wherever found,Pacific,1,Endangered,Bird
ES1408,Anaxyrus californicus,Arroyo (=arroyo southwestern) toad,Wherever found,Pacific Southwest,8,Endangered,Amphibian
ES984,Anaxyrus canorus,Yosemite toad,Wherever found,Pacific Southwest,8,Threatened,Amphibian
ES1549,Anguispira picta,Painted snake coiled forest snail,Wherever found,Southeast,4,Threatened,Slug/Snail
ES1036,Anolis roosevelti,Culebra Island giant anole,Wherever found,Southeast,4,Endangered,Reptile
ES1004,Antilocapra americana sonoriensis,Sonoran pronghorn,"Wherever found, except where listed as an experimental population",Southwest,2,Endangered,Mammal
ES1611,Antrobia culveri,Tumbling Creek cavesnail,Wherever found,Midwest,3,Endangered,Slug/Snail
ES1199,Antrolana lira,Madison Cave isopod,Wherever found,Northeast,5,Threatened,Crab/Lobster/Shrimp
ES1535,Aphelocoma coerulescens,Florida scrub-jay,Wherever found,Southeast,4,Threatened,Bird
ES643,Apios priceana,Prices potato-bean,,Southeast,4,Threatened,Vascular Plant
ES974,Aplodontia rufa nigra,Point Arena mountain beaver,Wherever found,Pacific Southwest,8,Endangered,Mammal
ES1437,Apodemia mormo langei,Lange's metalmark butterfly,Wherever found,Pacific Southwest,8,Endangered,Insect
ES309,Arabis georgiana,Georgia rockcress,Wherever found,Southeast,4,Threatened,Vascular Plant
ES392,Arabis hoffmannii,Hoffmann's rock-cress,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES565,Arabis macdonaldiana,McDonald's rock-cress,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES771,Arabis perstellata,Braun's rock-cress,Wherever found,Southeast,4,Endangered,Vascular Plant
ES926,Arabis serotina,Shale barren rock cress,Wherever found,Northeast,5,Endangered,Vascular Plant
ES45,Arctomecon humilis,Dwarf Bear-poppy,Wherever found,Mountain-Prairie,6,Endangered,Vascular Plant
ES115,Arctostaphylos confertiflora,Santa Rosa Island manzanita,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES203,Arctostaphylos franciscana,Franciscan manzanita,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES647,Arctostaphylos glandulosa ssp. crassifolia,Del Mar manzanita,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES696,Arctostaphylos hookeri var. ravenii,Presidio Manzanita,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES507,Arctostaphylos morroensis,Morro manzanita,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES907,Arctostaphylos myrtifolia,Ione manzanita,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES328,Arctostaphylos pallida,Pallid manzanita,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES417,Arenaria paludicola,Marsh Sandwort,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES163,Arenaria ursina,Bear Valley sandwort,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES444,Argemone pleiacantha ssp. pinnatisecta,Sacramento prickly poppy,Wherever found,Southwest,2,Endangered,Vascular Plant
ES131,Argyroxiphium kauense,Mauna Loa (=Ka'u) silversword,Wherever found,Pacific,1,Endangered,Vascular Plant
ES689,Argyroxiphium sandwicense ssp. macrocephalum,`Ahinahina,Wherever found,Pacific,1,Threatened,Vascular Plant
ES855,Argyroxiphium sandwicense ssp. sandwicense,`Ahinahina,Wherever found,Pacific,1,Endangered,Vascular Plant
ES186,Argythamnia blodgettii,Blodgett's silverbush,Wherever found,Southeast,4,Threatened,Vascular Plant
ES370,Aristida chaseae,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES160,Aristida portoricensis,Pelos del diablo,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1441,Arkansia wheeleri,Ouachita rock pocketbook,Wherever found,Southwest,2,Endangered,Invertebrate
ES852,Asclepias meadii,Mead's milkweed,Wherever found,Midwest,3,Threatened,Vascular Plant
