id,scientific_name,common_name,where_listed,region_name,region,esa_listing_status,category
ES1203,Cicindela ohlone,Ohlone tiger beetle,Wherever found,Pacific Southwest,8,Endangered,Insect
ES1069,Cicindela puritana,Puritan tiger beetle,Wherever found,Northeast,5,Threatened,Insect
ES969,Cicindelidia floridana,Miami tiger beetle,Wherever found,Southeast,4,Endangered,Insect
ES1522,Cicurina baronia,Robber Baron Cave Meshweaver,Wherever found,Southwest,2,Endangered,Spider/Scorpion
ES1181,Cicurina madla,Madla Cave Meshweaver,Wherever found,Southwest,2,Endangered,Spider/Scorpion
ES1025,Cicurina venii,Braken Bat Cave Meshweaver,Wherever found,Southwest,2,Endangered,Spider/Scorpion
ES1406,Cicurina vespera,Government Canyon Bat Cave Meshweaver,Wherever found,Southwest,2,Endangered,Spider/Scorpion
ES657,Cirsium fontinale var. fontinale,Fountain thistle,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES710,Cirsium fontinale var. obispoense,Chorro Creek bog thistle,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES33,Cirsium hydrophilum var. hydrophilum,Suisun thistle,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES265,Cirsium loncholepis,La Graciosa thistle,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES65,Cirsium pitcheri,Pitcher's thistle,Wherever found,Midwest,3,Threatened,Vascular Plant
ES238,Cirsium vinaceum,Sacramento Mountains thistle,Wherever found,Southwest,2,Threatened,Vascular Plant
ES815,Cladonia perforata,Florida perforate cladonia,Wherever found,Southeast,4,Endangered,Fungi
ES791,Clarkia franciscana,Presidio clarkia,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES692,Clarkia imbricata,Vine Hill clarkia,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES237,Clarkia speciosa ssp. immaculata,Pismo clarkia,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES446,Clarkia springvillensis,Springville clarkia,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES380,Clematis morefieldii,Morefields leather flower,,Southeast,4,Endangered,Vascular Plant
ES53,Clematis socialis,Alabama leather flower,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1334,Clemmys muhlenbergii,bog turtle,"Wherever found, except GA, NC, SC, TN, VA",Northeast,5,Threatened,Reptile
ES512,Clermontia drepanomorpha,`Oha wai,Wherever found,Pacific,1,Endangered,Vascular Plant
ES180,Clermontia lindseyana,`Oha wai,Wherever found,Pacific,1,Endangered,Vascular Plant
ES853,Clermontia oblongifolia ssp. brevipes,`Oha wai,Wherever found,Pacific,1,Endangered,Vascular Plant
ES286,Clermontia oblongifolia ssp. mauiensis,`Oha wai,Wherever found,Pacific,1,Endangered,Vascular Plant
ES248,Clermontia peleana,`Oha wai,Wherever found,Pacific,1,Endangered,Vascular Plant
ES364,Clermontia pyrularia,`Oha wai,Wherever found,Pacific,1,Endangered,Vascular Plant
ES659,Clermontia samuelii,`Oha wai,Wherever found,Pacific,1,Endangered,Vascular Plant
ES801,Clitoria fragrans,Pigeon wings,Wherever found,Southeast,4,Threatened,Vascular Plant
ES1554,Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,Southwest,2,Threatened,Bird
ES1478,Colinus virginianus ridgwayi,Masked bobwhite (quail),Wherever found,Southwest,2,Endangered,Bird
ES923,Colubrina oppositifolia,Kauila,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1569,Columba inornata wetmorei,Puerto Rican plain Pigeon,Wherever found,Southeast,4,Endangered,Bird
ES754,Conradina brevifolia,Short-leaved rosemary,Wherever found,Southeast,4,Endangered,Vascular Plant
ES821,Conradina etonia,Etonia rosemary,Wherever found,Southeast,4,Endangered,Vascular Plant
ES19,Conradina glabra,Apalachicola rosemary,Wherever found,Southeast,4,Endangered,Vascular Plant
ES812,Conradina verticillata,Cumberland rosemary,Wherever found,Southeast,4,Threatened,Vascular Plant
ES412,Consolea corallicola,Florida semaphore Cactus,Wherever found,Southeast,4,Endangered,Vascular Plant
ES914,Cordia bellonis,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES112,Cordylanthus maritimus ssp. maritimus,Salt marsh bird's-beak,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES825,Cordylanthus mollis ssp. mollis,Soft bird's-beak,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES253,Cordylanthus palmatus,Palmate-bracted bird's beak,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES455,Cordylanthus tenuis ssp. capillaris,Pennell's bird's-beak,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES397,Cornutia obovata,Palo de nigua,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1101,Corvus hawaiiensis,Hawaiian (='alala) Crow,Wherever found,Pacific,1,Endangered,Bird
ES1076,Corvus kubaryi,Mariana (=aga) Crow,Wherever found,Pacific,1,Endangered,Bird
ES941,Corvus leucognaphalus,White-necked crow,Wherever found,Southeast,4,Endangered,Bird
ES1014,Corynorhinus (=Plecotus) townsendii ingens,Ozark big-eared bat,Wherever found,Southwest,2,Endangered,Mammal
ES1278,Corynorhinus (=Plecotus) townsendii virginianus,Virginia big-eared bat,Wherever found,Northeast,5,Endangered,Mammal
ES281,Coryphantha minima,Nellie cory cactus,Wherever found,Southwest,2,Endangered,Vascular Plant
ES713,Coryphantha ramillosa,Bunched cory cactus,Wherever found,Southwest,2,Threatened,Vascular Plant
ES725,Coryphantha robbinsorum,Cochise pincushion cactus,Wherever found,Southwest,2,Threatened,Vascular Plant
ES221,Coryphantha scheeri var. robustispina,Pima pineapple cactus,Wherever found,Southwest,2,Endangered,Vascular Plant
ES829,Coryphantha sneedii var. leei,Lee pincushion cactus,Wherever found,Southwest,2,Threatened,Vascular Plant
ES621,Coryphantha sneedii var. sneedii,Sneed pincushion cactus,Wherever found,Southwest,2,Endangered,Vascular Plant
ES1396,Cottus paulus (=pygmaeus),Pygmy Sculpin,Wherever found,Southeast,4,Threatened,Fish
ES1454,Cottus specus,Grotto Sculpin,Wherever found,Midwest,3,Endangered,Fish
ES262,Cranichis ricartii,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1537,Crenichthys baileyi baileyi,White River springfish,Wherever found,Pacific Southwest,8,Endangered,Fish
ES1215,Crenichthys baileyi grandis,Hiko White River springfish,Wherever found,Pacific Southwest,8,Endangered,Fish
ES1524,Crenichthys nevadae,Railroad Valley springfish,Wherever found,Pacific Southwest,8,Threatened,Fish
ES786,Crescentia portoricensis,Higuero de sierra,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1060,Crocodylus acutus,American crocodile,U.S.A. (FL),Southeast,4,Threatened,Reptile
ES585,Crotalaria avonensis,Avon Park harebells,Wherever found,Southeast,4,Endangered,Vascular Plant
ES961,Crotalus willardi obscurus,New Mexican ridge-nosed rattlesnake,Wherever found,Southwest,2,Threatened,Reptile
ES602,Cryptantha crassipes,Terlingua Creek cat's-eye,Wherever found,Southwest,2,Endangered,Vascular Plant
ES1356,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender Missouri DPS,Missouri DPS,Midwest,3,Endangered,Amphibian
ES956,Cryptobranchus alleganiensis bishopi,Ozark Hellbender,Wherever found,Midwest,3,Endangered,Amphibian
ES1498,Crystallaria cincotta,diamond Darter,Wherever found,Northeast,5,Endangered,Fish
ES629,Ctenitis squamigera,Pauoa,Wherever found,Pacific,1,Endangered,Vascular Plant
ES925,Cucurbita okeechobeensis ssp. okeechobeensis,Okeechobee gourd,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1083,Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,Midwest,3,Endangered,Invertebrate
ES321,Cupressus abramsiana,Santa Cruz cypress,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES606,Cupressus goveniana ssp. goveniana,Gowen cypress,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES422,Cyanea acuminata,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES492,Cyanea asarifolia,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES783,Cyanea asplenifolia,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES499,Cyanea calycina,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES753,Cyanea copelandii ssp. copelandii,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES679,Cyanea copelandii ssp. haleakalaensis,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES251,Cyanea crispa,haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES164,Cyanea dolichopoda,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES158,Cyanea dunbariae,haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES722,Cyanea duvalliorum,haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES652,Cyanea eleeleensis,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES64,Cyanea gibsonii,haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES18,Cyanea glabra,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES408,Cyanea grimesiana ssp. grimesiana,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES716,Cyanea grimesiana ssp. obatae,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES888,Cyanea hamatiflora ssp. carlsonii,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES632,Cyanea hamatiflora ssp. hamatiflora,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES298,Cyanea horrida,haha nui,Wherever found,Pacific,1,Endangered,Vascular Plant
ES459,Cyanea humboldtiana,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES614,Cyanea kauaulaensis,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES861,Cyanea kolekoleensis,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES230,Cyanea koolauensis,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES619,Cyanea kuhihewa,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES790,Cyanea kunthiana,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES841,Cyanea lanceolata,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES517,Cyanea lobata,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES240,Cyanea longiflora,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES909,Cyanea magnicalyx,haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES865,Cyanea mannii,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES201,Cyanea maritae,haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES866,Cyanea marksii,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES215,Cyanea mauiensis,haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES594,Cyanea mceldowneyi,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES461,Cyanea munroi,haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES741,Cyanea obtusa,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES745,Cyanea pinnatifida,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES897,Cyanea platyphylla,`aku`aku,Wherever found,Pacific,1,Endangered,Vascular Plant
ES379,Cyanea procera,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES763,Cyanea profuga,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES119,Cyanea purpurellifolia,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES615,Cyanea recta,Haha,Wherever found,Pacific,1,Threatened,Vascular Plant
ES884,Cyanea remyi,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES596,Cyanea rivularis,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES287,Cyanea shipmanii,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES470,Cyanea solanacea,Popolo,Wherever found,Pacific,1,Endangered,Vascular Plant
ES199,Cyanea st.-johnii,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES448,Cyanea stictophylla,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES561,Cyanea superba,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES768,Cyanea tritomantha,`aku,Wherever found,Pacific,1,Endangered,Vascular Plant
ES564,Cyanea truncata,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES159,Cyanea undulata,Haha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES78,Cyathea dryopteroides,Elfin tree fern,Wherever found,Southeast,4,Endangered,Vascular Plant
ES845,Cycas micronesica,Fadang,Wherever found,Pacific,1,Threatened,Vascular Plant
ES307,Cycladenia humilis var. jonesii,Jones Cycladenia,Wherever found,Mountain-Prairie,6,Threatened,Vascular Plant
ES1094,Cyclargus (=Hemiargus) thomasi bethunebakeri,Miami Blue Butterfly,Wherever found,Southeast,4,Endangered,Insect
ES416,Cyclosorus boydiae,Kupukupu makalii,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1541,Cyclura stejnegeri,Mona ground Iguana,Wherever found,Southeast,4,Threatened,Reptile
ES1483,Cynomys parvidens,Utah prairie dog,Wherever found,Mountain-Prairie,6,Threatened,Mammal
ES502,Cyperus fauriei,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES581,Cyperus neokunthianus,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES516,Cyperus pennatiformis,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES242,Cyperus trachysanthos,Pu`uka`a,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1648,Cyprinella caerulea,Blue shiner,Wherever found,Southeast,4,Threatened,Fish
ES1404,Cyprinella formosa,Beautiful shiner,Wherever found,Southwest,2,Threatened,Fish
ES1533,Cyprinodon bovinus,Leon Springs pupfish,Wherever found,Southwest,2,Endangered,Fish
ES958,Cyprinodon diabolis,Devils Hole pupfish,Wherever found,Pacific Southwest,8,Endangered,Fish
ES1415,Cyprinodon elegans,Comanche Springs pupfish,Wherever found,Southwest,2,Endangered,Fish
ES1484,Cyprinodon macularius,Desert pupfish,Wherever found,Southwest,2,Endangered,Fish
ES970,Cyprinodon nevadensis mionectes,Ash Meadows Amargosa pupfish,Wherever found,Pacific Southwest,8,Endangered,Fish
ES1267,Cyprinodon nevadensis pectoralis,Warm Springs pupfish,Wherever found,Pacific Southwest,8,Endangered,Fish
ES1169,Cyprinodon radiosus,Owens pupfish,Wherever found,Pacific Southwest,8,Endangered,Fish
ES995,Cyprogenia stegaria,Fanshell,Wherever found,Southeast,4,Endangered,Invertebrate
ES24,Cyrtandra crenata,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES474,Cyrtandra cyaneoides,Mapele,Wherever found,Pacific,1,Endangered,Vascular Plant
ES826,Cyrtandra dentata,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES545,Cyrtandra ferripilosa,haiwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES778,Cyrtandra filipes,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES639,Cyrtandra giffardii,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES688,Cyrtandra gracilis,Haiwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES169,Cyrtandra hematos,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES886,Cyrtandra kaulantha,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES691,Cyrtandra limahuliensis,Ha`iwale,Wherever found,Pacific,1,Threatened,Vascular Plant
ES736,Cyrtandra munroi,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES666,Cyrtandra nanawaleensis,haiwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES711,Cyrtandra oenobarba,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES653,Cyrtandra oxybapha,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES137,Cyrtandra paliku,Haiwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES526,Cyrtandra polyantha,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES110,Cyrtandra sessilis,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES39,Cyrtandra subumbellata,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES921,Cyrtandra tintinnabula,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES72,Cyrtandra viridiflora,Ha`iwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES59,Cyrtandra wagneri,haiwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES272,Cyrtandra waiolani,Haiwale,Wherever found,Pacific,1,Endangered,Vascular Plant
ES932,Dalea carthagenensis floridana,Florida prairie-clover,Wherever found,Southeast,4,Endangered,Vascular Plant
ES438,Dalea foliosa,Leafy prairie-clover,Wherever found,Southeast,4,Endangered,Vascular Plant
ES426,Daphnopsis helleriana,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES117,Deeringothamnus pulchellus,Beautiful pawpaw,Wherever found,Southeast,4,Endangered,Vascular Plant
ES273,Deeringothamnus rugelii,Rugel's pawpaw,Wherever found,Southeast,4,Endangered,Vascular Plant
ES44,Deinandra (=Hemizonia) conjugens,Otay tarplant,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES2,Deinandra increscens ssp. villosa,Gaviota Tarplant,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES481,Delissea rhytidosperma,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES583,Delissea subcordata,Oha,Wherever found,Pacific,1,Endangered,Vascular Plant
ES299,Delissea undulata,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES483,Delphinium bakeri,Baker's larkspur,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES23,Delphinium luteum,Yellow larkspur,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES369,Delphinium variegatum ssp. kinkiense,San Clemente Island larkspur,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES1153,Deltistes luxatus,Lost River sucker,Wherever found,Pacific Southwest,8,Endangered,Fish
ES705,Dendrobium guamense,No common name,Wherever found,Pacific,1,Threatened,Vascular Plant
ES1198,Dendroica chrysoparia,Golden-cheeked warbler (=wood),Wherever found,Southwest,2,Endangered,Bird
ES568,Deparia kaalaana,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1150,Dermochelys coriacea,Leatherback sea turtle,Wherever found,Southeast,4,Endangered,Reptile
ES1393,Desmocerus californicus dimorphus,Valley elderberry longhorn beetle,Wherever found,Pacific Southwest,8,Threatened,Insect
ES816,Dicerandra christmanii,Garrett's mint,Wherever found,Southeast,4,Endangered,Vascular Plant
ES650,Dicerandra cornutissima,Longspurred mint,Wherever found,Southeast,4,Endangered,Vascular Plant
ES616,Dicerandra frutescens,Scrub mint,Wherever found,Southeast,4,Endangered,Vascular Plant
ES292,Dicerandra immaculata,Lakela's mint,Wherever found,Southeast,4,Endangered,Vascular Plant
ES819,Digitaria pauciflora,Florida pineland crabgrass,Wherever found,Southeast,4,Threatened,Vascular Plant
ES1204,Dinacoma caseyi,Casey's June Beetle,Wherever found,Pacific Southwest,8,Endangered,Insect
ES1494,Dionda diaboli,Devils River minnow,Wherever found,Southwest,2,Threatened,Fish
ES424,Diplacus vandenbergensis,Vandenberg monkeyflower,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES686,Diplazium molokaiense,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1536,Dipodomys heermanni morroensis,Morro Bay kangaroo rat,Wherever found,Pacific Southwest,8,Endangered,Mammal
ES1514,Dipodomys ingens,Giant kangaroo rat,Wherever found,Pacific Southwest,8,Endangered,Mammal
ES1605,Dipodomys merriami parvus,San Bernardino Merriam's kangaroo rat,Wherever found,Pacific Southwest,8,Endangered,Mammal
ES1130,Dipodomys nitratoides exilis,Fresno kangaroo rat,Wherever found,Pacific Southwest,8,Endangered,Mammal
ES1046,Dipodomys nitratoides nitratoides,Tipton kangaroo rat,Wherever found,Pacific Southwest,8,Endangered,Mammal
ES1058,Dipodomys stephensi (incl. D. cascus),Stephens' kangaroo rat,Wherever found,Pacific Southwest,8,Endangered,Mammal
ES1144,Discus macclintocki,Iowa Pleistocene snail,Wherever found,Midwest,3,Endangered,Slug/Snail
ES634,Dodecahema leptoceras,Slender-horned spineflower,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES575,Doryopteris angelica,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES758,Doryopteris takeuchii,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1194,Drepanis coccinea,`I`iwi,Wherever found,Pacific,1,Threatened,Bird
ES1162,Dromus dromas,Dromedary pearlymussel,Wherever found; Except where listed as Experimental Populations,Southeast,4,Endangered,Invertebrate
ES1287,Drosophila aglaia,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES938,Drosophila differens,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1219,Drosophila digressa,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES993,Drosophila hemipeza,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1502,Drosophila heteroneura,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1202,Drosophila montgomeryi,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1617,Drosophila mulli,Hawaiian picture-wing fly,Wherever found,Pacific,1,Threatened,Insect
ES1367,Drosophila musaphilia,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1555,Drosophila neoclavisetae,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1651,Drosophila obatai,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1035,Drosophila ochrobasis,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1118,Drosophila sharpi,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1636,Drosophila substenoptera,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1481,Drosophila tarphytrichia,Hawaiian picture-wing fly,Wherever found,Pacific,1,Endangered,Insect
ES1619,Drymarchon corais couperi,Eastern indigo snake,Wherever found,Southeast,4,Threatened,Reptile
ES769,Dryopteris crinalis var. podosorus,Palapalai aumakua,Wherever found,Pacific,1,Endangered,Vascular Plant
ES400,Dryopteris glabra var. pusilla,Hohiu,Wherever found,Pacific,1,Endangered,Vascular Plant
ES224,Dubautia herbstobatae,Na`ena`e,Wherever found,Pacific,1,Endangered,Vascular Plant
ES67,Dubautia imbricata ssp. imbricata,Na`ena`e,Wherever found,Pacific,1,Endangered,Vascular Plant
ES530,Dubautia kalalauensis,Naenae,Wherever found,Pacific,1,Endangered,Vascular Plant
ES355,Dubautia kenwoodii,Naenae,Wherever found,Pacific,1,Endangered,Vascular Plant
ES234,Dubautia latifolia,Koholapehu,Wherever found,Pacific,1,Endangered,Vascular Plant
ES922,Dubautia pauciflorula,Na`ena`e,Wherever found,Pacific,1,Endangered,Vascular Plant
ES664,Dubautia plantaginea ssp. humilis,Na`ena`e,Wherever found,Pacific,1,Endangered,Vascular Plant
ES193,Dubautia plantaginea ssp. magnifolia,Na`ena`e,Wherever found,Pacific,1,Endangered,Vascular Plant
ES332,Dubautia waialealae,Na`ena`e,Wherever found,Pacific,1,Endangered,Vascular Plant
ES198,Dudleya abramsii ssp. parva,Conejo dudleya,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES245,Dudleya cymosa ssp. marcescens,Marcescent dudleya,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES877,Dudleya cymosa ssp. ovatifolia,Santa Monica Mountains dudleyea,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES252,Dudleya nesiotica,Santa Cruz Island dudleya,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES613,Dudleya setchellii,Santa Clara Valley dudleya,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES651,Dudleya stolonifera,Laguna Beach liveforever,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES735,Dudleya traskiae,Santa Barbara Island liveforever,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES101,Dudleya verityi,Verity's dudleya,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES385,Echinacea laevigata,Smooth coneflower,Wherever found,Southeast,4,Endangered,Vascular Plant
ES476,Echinocactus horizonthalonius var. nicholii,Nichol's Turk's head cactus,Wherever found,Southwest,2,Endangered,Vascular Plant
ES368,Echinocereus chisoensis var. chisoensis,Chisos Mountain hedgehog Cactus,Wherever found,Southwest,2,Threatened,Vascular Plant
ES377,Echinocereus fendleri var. kuenzleri,Kuenzler hedgehog cactus,Wherever found,Southwest,2,Threatened,Vascular Plant
ES789,Echinocereus reichenbachii var. albertii,Black lace cactus,Wherever found,Southwest,2,Endangered,Vascular Plant
ES386,Echinocereus triglochidiatus var. arizonicus,Arizona hedgehog cactus,Wherever found,Southwest,2,Endangered,Vascular Plant
ES487,Echinocereus viridiflorus var. davisii,Davis' green pitaya,Wherever found,Southwest,2,Endangered,Vascular Plant
ES734,Echinomastus erectocentrus var. acunensis,Acuna Cactus,Wherever found,Southwest,2,Endangered,Vascular Plant
ES189,Echinomastus mariposensis,Lloyd's Mariposa cactus,Wherever found,Southwest,2,Threatened,Vascular Plant
ES394,Elaphoglossum serpens,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1207,Elaphrus viridis,Delta green ground beetle,Wherever found,Pacific Southwest,8,Threatened,Insect
ES1285,Elassoma alabamae,Spring pygmy sunfish,Wherever found,Southeast,4,Threatened,Fish
ES962,Eleutherodactylus cooki,Guajon,Wherever found,Southeast,4,Threatened,Amphibian
ES1428,Eleutherodactylus jasperi,Golden coqui,Wherever found,Southeast,4,Threatened,Amphibian
ES1324,Eleutherodactylus juanariveroi,Llanero Coqui,Wherever found,Southeast,4,Endangered,Amphibian
ES1463,Elimia crenatella,Lacy elimia (snail),Wherever found,Southeast,4,Threatened,Slug/Snail
ES1228,Elliptio chipolaensis,Chipola slabshell,Wherever found,Southeast,4,Threatened,Invertebrate
ES1422,Elliptio lanceolata,Yellow lance,Wherever found,Southeast,4,Threatened,Invertebrate
ES1322,Elliptio spinosa,Altamaha Spinymussel,Wherever found,Southeast,4,Endangered,Invertebrate
ES1066,Elliptio steinstansana,Tar River spinymussel,Wherever found,Southeast,4,Endangered,Invertebrate
ES1157,Elliptoideus sloatianus,Purple bankclimber (mussel),Wherever found,Southeast,4,Threatened,Invertebrate
ES989,Emballonura semicaudata rotensis,Pacific sheath-tailed Bat,Wherever found,Pacific,1,Endangered,Mammal
ES1607,Emballonura semicaudata semicaudata,Pacific sheath-tailed Bat,American Samoa,Pacific,1,Endangered,Mammal
ES1420,Emoia slevini,Slevin's skink,Wherever found,Pacific,1,Endangered,Reptile
ES1496,Empetrichthys latos,Pahrump poolfish,Wherever found,Pacific Southwest,8,Endangered,Fish
ES1624,Empidonax traillii extimus,Southwestern willow flycatcher,Wherever found,Southwest,2,Endangered,Bird
ES260,Enceliopsis nudicaulis var. corrugata,Ash Meadows sunray,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES1246,Enhydra lutris kenyoni,Northern Sea Otter,Southwest Alaska DPS,Alaska,7,Threatened,Mammal
ES1089,Enhydra lutris nereis,Southern sea otter,Wherever found,Pacific Southwest,8,Threatened,Mammal
