"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard.scientificName record1Value","[0] StringAttributeComparatorJaccard.scientificName record2Value","[0] StringAttributeComparatorJaccard.scientificName record1PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName record2PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName similarity","[0] StringAttributeComparatorJaccard.scientificName postproccesedSimilarity","[1] StringAttributeComparatorLevenshtein.scientificName record1Value","[1] StringAttributeComparatorLevenshtein.scientificName record2Value","[1] StringAttributeComparatorLevenshtein.scientificName record1PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName record2PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName similarity","[1] StringAttributeComparatorLevenshtein.scientificName postproccesedSimilarity","[2] StringListAttributeComparatorLevenshtein.commonNames record1Value","[2] StringListAttributeComparatorLevenshtein.commonNames record2Value","[2] StringListAttributeComparatorLevenshtein.commonNames record1PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.commonNames record2PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.commonNames similarity","[2] StringListAttributeComparatorLevenshtein.commonNames postproccesedSimilarity","[3] StringListAttributeAsWholeComparatorJaccard.commonNames record1Value","[3] StringListAttributeAsWholeComparatorJaccard.commonNames record2Value","[3] StringListAttributeAsWholeComparatorJaccard.commonNames record1PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.commonNames record2PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.commonNames similarity","[3] StringListAttributeAsWholeComparatorJaccard.commonNames postproccesedSimilarity","[4] StringListAttributeAsWholeComparatorJaccard.orders record1Value","[4] StringListAttributeAsWholeComparatorJaccard.orders record2Value","[4] StringListAttributeAsWholeComparatorJaccard.orders record1PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.orders record2PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.orders similarity","[4] StringListAttributeAsWholeComparatorJaccard.orders postproccesedSimilarity","[5] StringListAttributeComparatorLevenshtein.orders record1Value","[5] StringListAttributeComparatorLevenshtein.orders record2Value","[5] StringListAttributeComparatorLevenshtein.orders record1PreprocessedValue","[5] StringListAttributeComparatorLevenshtein.orders record2PreprocessedValue","[5] StringListAttributeComparatorLevenshtein.orders similarity","[5] StringListAttributeComparatorLevenshtein.orders postproccesedSimilarity","[6] StringListAttributeAsWholeComparatorJaccard.families record1Value","[6] StringListAttributeAsWholeComparatorJaccard.families record2Value","[6] StringListAttributeAsWholeComparatorJaccard.families record1PreprocessedValue","[6] StringListAttributeAsWholeComparatorJaccard.families record2PreprocessedValue","[6] StringListAttributeAsWholeComparatorJaccard.families similarity","[6] StringListAttributeAsWholeComparatorJaccard.families postproccesedSimilarity","[7] StringListAttributeComparatorLevenshtein.families record1Value","[7] StringListAttributeComparatorLevenshtein.families record2Value","[7] StringListAttributeComparatorLevenshtein.families record1PreprocessedValue","[7] StringListAttributeComparatorLevenshtein.families record2PreprocessedValue","[7] StringListAttributeComparatorLevenshtein.families similarity","[7] StringListAttributeComparatorLevenshtein.families postproccesedSimilarity"
"WekaMatchingRule","BIO16969","http://www.wikidata.org/entity/q368496","0.0",,"eudonia nectarioides","eudocima jordani","eudonia nectarioides","eudocima jordani","0.0","0.0","eudonia nectarioides","eudocima jordani","eudonia nectarioides","eudocima jordani","0.4","0.4","[none]","[eudocima jordani]","[none]","[eudocima jordani]","0.125","0.125","none","eudocima jordani","none","eudocima jordani","0.0","0.0","lepidoptera","lepidoptera","lepidoptera","lepidoptera","1.0","1.0","[lepidoptera]","[lepidoptera]","[lepidoptera]","[lepidoptera]","1.0","1.0","pyralidae","erebidae","pyralidae","erebidae","0.0","0.0","[pyralidae]","[erebidae]","[pyralidae]","[erebidae]","0.5555555555555556","0.5555555555555556"
"WekaMatchingRule","BIO00752","http://www.wikidata.org/entity/q2165030",,"0","agapetus rossi","tipula cava","agapetus rossi","tipula cava","0.0","0.0","agapetus rossi","tipula cava","agapetus rossi","tipula cava","0.1428571428571429","0.1428571428571429","[none]","[tipula (lunatipula) cava]","[none]","[tipula (lunatipula) cava]","0.04166666666666663","0.04166666666666663","none","tipula (lunatipula) cava","none","tipula (lunatipula) cava","0.0","0.0","trichoptera","diptera","trichoptera","diptera","0.0","0.0","[trichoptera]","[diptera]","[trichoptera]","[diptera]","0.5454545454545454","0.5454545454545454","glossosomatidae","tipulidae","glossosomatidae","tipulidae","0.0","0.0","[glossosomatidae]","[tipulidae]","[glossosomatidae]","[tipulidae]","0.2666666666666667","0.2666666666666667"
"WekaMatchingRule","BIO13706","http://www.wikidata.org/entity/q652050","0.02",,"dicranomyia macateei","dicranomyia karma","dicranomyia macateei","dicranomyia karma","0.3333333333333333","0.3333333333333333","dicranomyia macateei","dicranomyia karma","dicranomyia macateei","dicranomyia karma","0.65","0.65","[none]","[dicranomyia (dicranomyia) karma]","[none]","[dicranomyia (dicranomyia) karma]","0.09677419354838712","0.09677419354838712","none","dicranomyia (dicranomyia) karma","none","dicranomyia (dicranomyia) karma","0.0","0.0","diptera","diptera","diptera","diptera","1.0","1.0","[diptera]","[diptera]","[diptera]","[diptera]","1.0","1.0","tipulidae","limoniidae","tipulidae","limoniidae","0.0","0.0","[tipulidae]","[limoniidae]","[tipulidae]","[limoniidae]","0.5","0.5"
"WekaMatchingRule","BIO18436","http://www.wikidata.org/entity/q1261387","0.0",,"gallinago delicata","gallinula ventralis","gallinago delicata","gallinula ventralis","0.0","0.0","gallinago delicata","gallinula ventralis","gallinago delicata","gallinula ventralis","0.4736842105263158","0.4736842105263158","[common snipe, wilson s snipe]","[black tailed nativehen, gallinula ventralis]","[common snipe, wilson s snipe]","[black tailed nativehen, gallinula ventralis]","0.21052631578947367","0.21052631578947367","common snipe wilson s snipe","black tailed nativehen gallinula ventralis","common snipe wilson s snipe","black tailed nativehen gallinula ventralis","0.0","0.0","charadriiformes","dinosaur saurischia gruiformes avetheropoda","charadriiformes","dinosaur saurischia gruiformes avetheropoda","0.0","0.0","[charadriiformes]","[dinosaur, saurischia, gruiformes, avetheropoda]","[charadriiformes]","[dinosaur, saurischia, gruiformes, avetheropoda]","0.5333333333333333","0.5333333333333333","scolopacidae","rallidae","scolopacidae","rallidae","0.0","0.0","[scolopacidae]","[rallidae]","[scolopacidae]","[rallidae]","0.41666666666666663","0.41666666666666663"
"WekaMatchingRule","BIO26077","http://www.wikidata.org/entity/q2156151","0.0",,"macrobiotus","macrostomum gallicum","macrobiotus","macrostomum gallicum","0.0","0.0","macrobiotus","macrostomum gallicum","macrobiotus","macrostomum gallicum","0.35","0.35","[none]","[macrostomum gallicum]","[none]","[macrostomum gallicum]","0.050000000000000044","0.050000000000000044","none","macrostomum gallicum","none","macrostomum gallicum","0.0","0.0","parachela","macrostomida","parachela","macrostomida","0.0","0.0","[parachela]","[macrostomida]","[parachela]","[macrostomida]","0.25","0.25","macrobiotidae","macrostomidae","macrobiotidae","macrostomidae","0.0","0.0","[macrobiotidae]","[macrostomidae]","[macrobiotidae]","[macrostomidae]","0.7692307692307692","0.7692307692307692"
"WekaMatchingRule","BIO00972","http://www.wikidata.org/entity/q1787898","0.0",,"agriotes opaculus","agrilus pratensis","agriotes opaculus","agrilus pratensis","0.0","0.0","agriotes opaculus","agrilus pratensis","agriotes opaculus","agrilus pratensis","0.4117647058823529","0.4117647058823529","[none]","[agrilus pratensis]","[none]","[agrilus pratensis]","0.05882352941176472","0.05882352941176472","none","agrilus pratensis","none","agrilus pratensis","0.0","0.0","coleoptera","coleoptera","coleoptera","coleoptera","1.0","1.0","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","elateridae","buprestidae","elateridae","buprestidae","0.0","0.0","[elateridae]","[buprestidae]","[elateridae]","[buprestidae]","0.4545454545454546","0.4545454545454546"
"WekaMatchingRule","BIO00970","http://www.wikidata.org/entity/q2068062","0.0",,"agriotes criddlei","agriotes hilaris","agriotes criddlei","agriotes hilaris","0.3333333333333333","0.3333333333333333","agriotes criddlei","agriotes hilaris","agriotes criddlei","agriotes hilaris","0.5882352941176471","0.5882352941176471","[none]","[agriotes hilaris]","[none]","[agriotes hilaris]","0.125","0.125","none","agriotes hilaris","none","agriotes hilaris","0.0","0.0","coleoptera","coleoptera","coleoptera","coleoptera","1.0","1.0","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","elateridae","elateridae","elateridae","elateridae","1.0","1.0","[elateridae]","[elateridae]","[elateridae]","[elateridae]","1.0","1.0"
"WekaMatchingRule","BIO31315","http://www.wikidata.org/entity/q2066871","0.0",,"paracymus tarsalis","paraxenoda biru","paracymus tarsalis","paraxenoda biru","0.0","0.0","paracymus tarsalis","paraxenoda biru","paracymus tarsalis","paraxenoda biru","0.2777777777777778","0.2777777777777778","[none]","[paraxenoda biru]","[none]","[paraxenoda biru]","0.1333333333333333","0.1333333333333333","none","paraxenoda biru","none","paraxenoda biru","0.0","0.0","coleoptera","coleoptera","coleoptera","coleoptera","1.0","1.0","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","hydrophilidae","leaf beetle","hydrophilidae","leaf beetle","0.0","0.0","[hydrophilidae]","[leaf beetle]","[hydrophilidae]","[leaf beetle]","0.07692307692307687","0.07692307692307687"
"WekaMatchingRule","BIO34335","http://www.wikidata.org/entity/q1087772","1.0","1","plectrophenax hyperboreus","plectrophenax hyperboreus","plectrophenax hyperboreus","plectrophenax hyperboreus","1.0","1.0","plectrophenax hyperboreus","plectrophenax hyperboreus","plectrophenax hyperboreus","plectrophenax hyperboreus","1.0","1.0","[mckay s bunting]","[mckay s bunting]","[mckay s bunting]","[mckay s bunting]","1.0","1.0","mckay s bunting","mckay s bunting","mckay s bunting","mckay s bunting","1.0","1.0","passeriformes","passeriformes saurischia dinosaur avetheropoda","passeriformes","passeriformes saurischia dinosaur avetheropoda","0.25","0.25","[passeriformes]","[passeriformes, saurischia, dinosaur, avetheropoda]","[passeriformes]","[passeriformes, saurischia, dinosaur, avetheropoda]","1.0","1.0","calcariidae","emberizidae","calcariidae","emberizidae","0.0","0.0","[calcariidae]","[emberizidae]","[calcariidae]","[emberizidae]","0.4545454545454546","0.4545454545454546"
"WekaMatchingRule","BIO02383","http://www.wikidata.org/entity/q2175962",,"0","antennaria geyeri","eupolyodontes cornishii","antennaria geyeri","eupolyodontes cornishii","0.0","0.0","antennaria geyeri","eupolyodontes cornishii","antennaria geyeri","eupolyodontes cornishii","0.08695652173913049","0.08695652173913049","[pinewood or geyer s pussytoes, geyer s everlasting, geyer s pussytoes]","[eupolyodontes cornishii]","[pinewood or geyer s pussytoes, geyer s everlasting, geyer s pussytoes]","[eupolyodontes cornishii]","0.2068965517241379","0.2068965517241379","pinewood or geyer s pussytoes geyer s everlasting geyer s pussytoes","eupolyodontes cornishii","pinewood or geyer s pussytoes geyer s everlasting geyer s pussytoes","eupolyodontes cornishii","0.0","0.0","asterales","phyllodocida","asterales","phyllodocida","0.0","0.0","[asterales]","[phyllodocida]","[asterales]","[phyllodocida]","0.0","0.0","asteraceae","acoetidae","asteraceae","acoetidae","0.0","0.0","[asteraceae]","[acoetidae]","[asteraceae]","[acoetidae]","0.4","0.4"
