"BIO11317","ES112","0.96"
"BIO36829","ES413","1.0"
"BIO05893","ES1623","0.93"
"BIO20116","ES562","0.93"
"BIO09158","ES1023","1.0"
"BIO04380","ES857","0.96"
"BIO05157","ES609","1.0"
"BIO14907","ES487","1.0"
"BIO08558","ES1340","1.0"
"BIO45272","ES165","0.95"
"BIO12056","ES956","0.99"
"BIO36424","ES1647","1.0"
"BIO27455","ES1638","0.95"
"BIO43964","ES434","1.0"
"BIO34395","ES1338","1.0"
"BIO36974","ES1594","1.0"
"BIO37049","ES1000","1.0"
"BIO16939","ES950","1.0"
"BIO11549","ES713","1.0"
"BIO40188","ES304","0.95"
"BIO06385","ES1013","1.0"
"BIO35070","ES1547","1.0"
"BIO04352","ES141","1.0"
"BIO41842","ES1657","1.0"
"BIO12892","ES438","1.0"
"BIO36976","ES1326","0.99"
"BIO19259","ES998","1.0"
"BIO05812","ES1233","1.0"
"BIO24520","ES462","1.0"
"BIO03717","ES852","0.96"
"BIO15404","ES260","1.0"
"BIO34359","ES1599","1.0"
"BIO27652","ES184","0.93"
"BIO18812","ES1262","1.0"
"BIO23269","ES1513","0.93"
"BIO29381","ES378","0.93"
"BIO40598","ES16","1.0"
"BIO34380","ES1557","1.0"
"BIO14760","ES735","1.0"
"BIO42289","ES1225","0.99"
"BIO23003","ES430","0.98"
"BIO36090","ES1297","1.0"
"BIO08341","ES964","0.99"
"BIO14677","ES769","0.93"
"BIO25738","ES1593","0.98"
"BIO29503","ES1418","1.0"
"BIO14754","ES252","1.0"
"BIO09576","ES441","1.0"
"BIO34191","ES739","1.0"
"BIO04409","ES636","1.0"
"BIO40682","ES644","0.93"
"BIO14026","ES1536","0.99"
"BIO03346","ES186","1.0"
"BIO33965","ES837","0.94"
"BIO20216","ES887","1.0"
"BIO28318","ES1141","1.0"
"BIO15961","ES1310","1.0"
"BIO05260","ES176","1.0"
"BIO08542","ES662","0.98"
"BIO06475","ES389","1.0"
"BIO19308","ES1482","0.93"
"BIO24870","ES42","0.94"
"BIO16468","ES626","1.0"
"BIO23543","ES846","1.0"
"BIO29010","ES940","0.95"
"BIO29380","ES698","1.0"
"BIO39293","ES146","1.0"
"BIO13135","ES1153","1.0"
"BIO01651","ES1120","1.0"
"BIO06923","ES136","0.93"
"BIO31204","ES1616","1.0"
"BIO10542","ES180","1.0"
"BIO07626","ES308","0.94"
"BIO03342","ES689","0.96"
"BIO39531","ES90","0.93"
"BIO25933","ES1020","1.0"
"BIO11555","ES829","0.94"
"BIO11559","ES725","0.94"
"BIO32457","ES1126","0.99"
"BIO12743","ES639","1.0"
"BIO37392","ES1560","1.0"
"BIO26893","ES120","0.93"
"BIO12331","ES287","1.0"
"BIO34789","ES1186","0.99"
"BIO18441","ES1234","1.0"
"BIO26885","ES407","1.0"
"BIO44702","ES1634","1.0"
"BIO10052","ES65","0.93"
"BIO09193","ES953","1.0"
"BIO01856","ES1320","1.0"
"BIO29711","ES429","1.0"
"BIO02546","ES1004","0.98"
"BIO37053","ES1518","1.0"
"BIO20071","ES402","1.0"
"BIO19519","ES1364","1.0"
"BIO12329","ES897","1.0"
"BIO40204","ES359","1.0"
"BIO02811","ES1437","0.93"
"BIO35651","ES807","0.93"
"BIO40444","ES1030","1.0"
"BIO36006","ES1059","0.96"
"BIO31860","ES638","1.0"
"BIO42008","ES798","0.93"
"BIO12154","ES629","1.0"
"BIO23902","ES1388","0.99"
"BIO45806","ES943","1.0"
"BIO04427","ES592","0.93"
"BIO12055","ES1356","1.0"
"BIO41023","ES960","1.0"
"BIO14879","ES368","1.0"
"BIO42247","ES863","1.0"
"BIO45023","ES1349","1.0"
"BIO33810","ES1245","0.94"
"BIO12333","ES448","0.95"
"BIO04282","ES13","1.0"
"BIO15351","ES1624","1.0"
"BIO32476","ES1292","1.0"
"BIO17580","ES275","1.0"
"BIO18965","ES1620","1.0"
"BIO12316","ES679","1.0"
"BIO36770","ES1642","0.94"
"BIO37152","ES156","1.0"
"BIO27287","ES331","0.96"
"BIO18788","ES918","1.0"
"BIO01675","ES1241","0.94"
"BIO02961","ES565","1.0"
"BIO12320","ES18","1.0"
"BIO04139","ES785","0.98"
"BIO14727","ES193","0.93"
"BIO33630","ES1222","1.0"
"BIO36280","ES584","0.93"
"BIO15054","ES1285","0.93"
"BIO26894","ES566","0.93"
"BIO18914","ES622","1.0"
"BIO22891","ES1465","0.93"
"BIO02784","ES974","0.99"
"BIO40131","ES806","0.96"
"BIO43329","ES1214","1.0"
"BIO03343","ES855","0.98"
"BIO37057","ES1381","1.0"
"BIO03145","ES647","0.95"
"BIO07418","ES1299","1.0"
"BIO24862","ES367","1.0"
"BIO40995","ES1456","0.99"
"BIO31051","ES1289","1.0"
"BIO16289","ES313","0.93"
"BIO23882","ES1457","1.0"
