resource,family,class,order,taxonName,taxonCommonName,differentFrom,endemicTo,conservationStatus,resourceLabel,familyLabel,classLabel,orderLabel,differentFromLabel,endemicToLabel,conservationStatusLabel
http://www.wikidata.org/entity/q18855,http://www.wikidata.org/entity/q28449,"['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113']","['http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,kentish plover,,,http://www.wikidata.org/entity/q211005,kentish plover,charadriidae,"['dipnotetrapodomorpha', 'reptilia', 'bird']","['saurischia', 'charadriiformes', 'dinosaur', 'avetheropoda']",,,least concern
http://www.wikidata.org/entity/q18856,http://www.wikidata.org/entity/q26626,"['http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,terek sandpiper,,"['http://www.wikidata.org/entity/q532440', 'http://www.wikidata.org/entity/q1850393', 'http://www.wikidata.org/entity/q7260866', 'http://www.wikidata.org/entity/q4849475', 'http://www.wikidata.org/entity/q26793770', 'http://www.wikidata.org/entity/q105954409']",http://www.wikidata.org/entity/q211005,terek sandpiper,scolopacidae,"['reptilia', 'bird', 'dipnotetrapodomorpha']","['dinosaur', 'charadriiformes', 'saurischia', 'avetheropoda']",,"['sundarbans national park', 'little rann of kutch', 'purbasthali', 'bakkhali', 'sunderbans wildlife national park', 'asan conservation reserve']",least concern
http://www.wikidata.org/entity/q18857,http://www.wikidata.org/entity/q28449,"['http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,"['greater sandplover', 'greater sand plover', 'greater sand-plover', 'large sand dotterel']",,"['http://www.wikidata.org/entity/q1850393', 'http://www.wikidata.org/entity/q2639563', 'http://www.wikidata.org/entity/q4849475', 'http://www.wikidata.org/entity/q7260866', 'http://www.wikidata.org/entity/q26793770']",http://www.wikidata.org/entity/q211005,greater sand plover,charadriidae,"['bird', 'reptilia', 'dipnotetrapodomorpha']","['charadriiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,"['little rann of kutch', 'tadoba-andhari tiger reserve', 'bakkhali', 'purbasthali', 'sunderbans wildlife national park']",least concern
http://www.wikidata.org/entity/q18858,http://www.wikidata.org/entity/q26626,"['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113']","['http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,"['eurasian whimbrel', 'whimbrel']",,"['http://www.wikidata.org/entity/q1850393', 'http://www.wikidata.org/entity/q4849475', 'http://www.wikidata.org/entity/q26793770']",http://www.wikidata.org/entity/q211005,whimbrel,scolopacidae,"['dipnotetrapodomorpha', 'reptilia', 'bird']","['charadriiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,"['little rann of kutch', 'bakkhali', 'sunderbans wildlife national park']",least concern
http://www.wikidata.org/entity/q18859,http://www.wikidata.org/entity/q26626,"['http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,"['redshank', 'common redshank']",,,http://www.wikidata.org/entity/q211005,common redshank,scolopacidae,"['reptilia', 'bird', 'dipnotetrapodomorpha']","['dinosaur', 'charadriiformes', 'saurischia', 'avetheropoda']",,,least concern
http://www.wikidata.org/entity/q18860,http://www.wikidata.org/entity/q26626,"['http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811']","['http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,"['red-necked stint', 'rufous-necked stint']",,,http://www.wikidata.org/entity/q719675,red-necked stint,scolopacidae,"['bird', 'dipnotetrapodomorpha', 'reptilia']","['charadriiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,,near threatened
http://www.wikidata.org/entity/q18861,http://www.wikidata.org/entity/q212929,"['http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811']","['http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,pheasant-tailed jacana,,,http://www.wikidata.org/entity/q211005,pheasant-tailed jacana,jacanidae,"['bird', 'dipnotetrapodomorpha', 'reptilia']","['charadriiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,,least concern
http://www.wikidata.org/entity/q18864,http://www.wikidata.org/entity/q26626,"['http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q5113']","['http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,bar-tailed godwit,,"['http://www.wikidata.org/entity/q4849475', 'http://www.wikidata.org/entity/q26793770']",http://www.wikidata.org/entity/q719675,bar-tailed godwit,scolopacidae,"['reptilia', 'dipnotetrapodomorpha', 'bird']","['saurischia', 'charadriiformes', 'dinosaur', 'avetheropoda']",,"['bakkhali', 'sunderbans wildlife national park']",near threatened
http://www.wikidata.org/entity/q18865,http://www.wikidata.org/entity/q28449,"['http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,pacific golden plover,,"['http://www.wikidata.org/entity/q192764', 'http://www.wikidata.org/entity/q1209353', 'http://www.wikidata.org/entity/q506511', 'http://www.wikidata.org/entity/q1815612', 'http://www.wikidata.org/entity/q1850393', 'http://www.wikidata.org/entity/q2723560', 'http://www.wikidata.org/entity/q4849475', 'http://www.wikidata.org/entity/q2989176', 'http://www.wikidata.org/entity/q7260866', 'http://www.wikidata.org/entity/q5252276', 'http://www.wikidata.org/entity/q26793770', 'http://www.wikidata.org/entity/q7786671', 'http://www.wikidata.org/entity/q4903011', 'http://www.wikidata.org/entity/q60745222', 'http://www.wikidata.org/entity/q28180176', 'http://www.wikidata.org/entity/q97273801', 'http://www.wikidata.org/entity/q102074431', 'http://www.wikidata.org/entity/q106557962', 'http://www.wikidata.org/entity/q106558419']",http://www.wikidata.org/entity/q211005,pacific golden plover,charadriidae,"['reptilia', 'bird', 'dipnotetrapodomorpha']","['dinosaur', 'charadriiformes', 'saurischia', 'avetheropoda']",,"['kaziranga national park', 'dibru-saikhowa national park', 'manas national park', 'namdapha national park', 'little rann of kutch', 'nal sarovar bird sanctuary', 'bakkhali', 'orang national park', 'purbasthali', 'dehing patkai national park', 'sunderbans wildlife national park', 'thol lake', 'bibhutibhushan wildlife sanctuary', 'bandhi', 'mukutmanipur dam', 'gajoldoba', 'maguri motapung beel', 'kokilamukh beel', 'panbari reserve forest']",least concern
http://www.wikidata.org/entity/q18866,http://www.wikidata.org/entity/q27589,"['http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811']","['http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,"['great crested-tern', 'greater crested tern', 'swift tern', 'great crested tern', 'crested tern']",,,http://www.wikidata.org/entity/q211005,greater crested tern,laridae,"['bird', 'dipnotetrapodomorpha', 'reptilia']","['charadriiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,,least concern
