"BIO21090","ES1359","1.0"
"BIO14641","ES1619","1.0"
"BIO38022","ES1653","1.0"
"BIO01978","ES1026","1.0"
"BIO29503","ES1418","1.0"
"BIO25933","ES1020","1.0"
"BIO31051","ES1289","1.0"
"BIO42056","ES1656","1.0"
"BIO30095","ES1122","1.0"
"BIO32476","ES1292","1.0"
"BIO00392","ES1476","1.0"
"BIO07214","ES1627","1.0"
"BIO09158","ES1023","1.0"
"BIO15351","ES1624","1.0"
"BIO38590","ES946","1.0"
"BIO15444","ES1089","1.0"
"BIO05812","ES1233","1.0"
"BIO14474","ES1219","1.0"
"BIO38621","ES997","1.0"
"BIO36424","ES1647","1.0"
"BIO14527","ES1617","1.0"
"BIO18965","ES1620","1.0"
"BIO37393","ES1056","1.0"
"BIO05795","ES1416","1.0"
"BIO28316","ES1243","1.0"
"BIO29472","ES1037","1.0"
"BIO28926","ES1491","1.0"
"BIO43135","ES1263","1.0"
"BIO41023","ES960","1.0"
"BIO06146","ES1588","1.0"
"BIO36499","ES1370","1.0"
"BIO01766","ES1345","1.0"
"BIO44702","ES1634","1.0"
"BIO16264","ES983","1.0"
"BIO18811","ES955","1.0"
"BIO02004","ES984","1.0"
"BIO31889","ES1500","1.0"
"BIO23422","ES1135","1.0"
"BIO35168","ES1291","1.0"
"BIO16939","ES950","1.0"
"BIO26649","ES1509","1.0"
"BIO23882","ES1457","1.0"
"BIO30780","ES1176","1.0"
"BIO34095","ES1488","1.0"
"BIO29617","ES1239","1.0"
"BIO14496","ES1502","1.0"
"BIO36199","ES1179","1.0"
"BIO18454","ES1093","1.0"
"BIO05034","ES1051","1.0"
"BIO37057","ES1381","1.0"
"BIO37045","ES1395","1.0"
"BIO28124","ES1168","1.0"
"BIO11489","ES1101","1.0"
"BIO15988","ES1265","1.0"
"BIO01651","ES1120","1.0"
"BIO33630","ES1222","1.0"
"BIO19413","ES1159","1.0"
"BIO19259","ES998","1.0"
"BIO45806","ES943","1.0"
"BIO20482","ES1645","1.0"
"BIO40443","ES1030","1.0"
"BIO10507","ES1334","1.0"
"BIO07055","ES1231","1.0"
"BIO09193","ES953","1.0"
"BIO45466","ES1240","1.0"
"BIO26651","ES1185","1.0"
"BIO13176","ES1198","1.0"
"BIO19519","ES1364","1.0"
"BIO10741","ES1554","1.0"
"BIO02701","ES1535","1.0"
"BIO13257","ES1150","1.0"
"BIO34380","ES1557","1.0"
"BIO18812","ES1262","1.0"
"BIO05557","ES1148","1.0"
"BIO14385","ES1194","1.0"
"BIO28230","ES1637","1.0"
"BIO31204","ES1616","1.0"
"BIO25447","ES1129","1.0"
"BIO09263","ES1005","1.0"
"BIO36335","ES981","1.0"
"BIO05303","ES1504","1.0"
"BIO09194","ES1212","1.0"
"BIO21763","ES1601","1.0"
"BIO26652","ES1140","1.0"
"BIO13135","ES1153","1.0"
"BIO40782","ES1133","1.0"
"BIO23883","ES987","1.0"
"BIO19261","ES1327","1.0"
"BIO30781","ES1398","1.0"
"BIO30098","ES1352","1.0"
"BIO12056","ES1356","1.0"
"BIO42131","ES1394","1.0"
"BIO16826","ES1379","1.0"
"BIO29476","ES985","1.0"
"BIO26470","ES1044","1.0"
"BIO20274","ES1002","1.0"
"BIO35070","ES1547","1.0"
"BIO12569","ES1483","1.0"
"BIO24175","ES1344","1.0"
"BIO36090","ES1297","1.0"
"BIO07418","ES1299","1.0"
"BIO17289","ES1487","1.0"
"BIO11836","ES1060","1.0"
"BIO08558","ES1340","1.0"
"BIO42057","ES1626","1.0"
"BIO12700","ES958","1.0"
"BIO25449","ES1232","1.0"
"BIO23712","ES1417","1.0"
"BIO28318","ES1141","1.0"
"BIO37049","ES1000","1.0"
"BIO37053","ES1518","1.0"
"BIO36679","ES1091","1.0"
"BIO43876","ES1325","1.0"
"BIO28310","ES1544","1.0"
"BIO45023","ES1349","1.0"
